,beds,full_baths,sqft,year_built,list_price,price_per_sqft
372,4.0,3.0,2846.0,1960.0,1198000.0,421.0
374,1.0,1.0,650.0,1965.0,625000.0,962.0
375,1.0,1.0,680.0,1952.0,169000.0,249.0
376,6.0,2.0,1696.0,1915.0,675000.0,398.0
377,2.0,2.0,1054.0,1989.0,474900.0,451.0
378,2.0,2.0,988.0,2009.0,669777.0,678.0
379,3.0,3.0,1865.0,1925.0,1895000.0,1016.0
380,8.0,4.0,2576.0,1920.0,925000.0,359.0
381,5.0,3.0,1920.0,1910.0,1275000.0,664.0
382,3.0,2.0,1311.0,2007.0,575000.0,439.0
383,0.0,1.0,457.0,1985.0,229000.0,501.0
384,5.0,2.0,1760.0,1925.0,799000.0,454.0
386,4.0,2.0,1905.0,1950.0,838000.0,440.0
387,4.0,2.0,3000.0,1950.0,790000.0,263.0
391,3.0,2.0,1943.0,1984.0,619000.0,319.0
393,4.0,2.0,1760.0,1920.0,1198000.0,681.0
394,2.0,2.0,975.0,1993.0,1450000.0,1487.0
396,4.0,3.0,1800.0,1992.0,749999.0,417.0
397,2.0,2.0,1798.0,2014.0,5500000.0,3059.0
398,6.0,4.0,2364.0,1915.0,1650000.0,698.0
399,3.0,3.0,1065.0,1925.0,668000.0,627.0
401,0.0,1.0,500.0,1962.0,108000.0,216.0
403,4.0,2.0,2342.0,1970.0,849998.0,363.0
404,2.0,1.0,900.0,1955.0,800000.0,889.0
407,2.0,2.0,1083.0,2018.0,2315000.0,2138.0
408,3.0,3.0,1199.0,1989.0,599000.0,500.0
409,2.0,2.0,1331.0,1965.0,2350000.0,1766.0
410,2.0,2.0,2720.0,1952.0,2995000.0,1101.0
413,2.0,1.0,850.0,1900.0,695000.0,818.0
414,1.0,1.0,1130.0,1975.0,449000.0,397.0
415,2.0,2.0,1550.0,2015.0,3865000.0,2494.0
416,0.0,1.0,500.0,1960.0,205000.0,410.0
417,1.0,1.0,953.0,1986.0,1300000.0,1364.0
418,3.0,1.0,1443.0,1925.0,599999.0,416.0
420,2.0,2.0,812.0,2007.0,838000.0,1032.0
421,1.0,1.0,900.0,1955.0,299000.0,332.0
422,2.0,2.0,1034.0,2009.0,620000.0,600.0
423,3.0,2.0,2072.0,1940.0,1198000.0,578.0
424,2.0,2.0,812.0,2007.0,828000.0,1020.0
425,3.0,1.0,1100.0,1935.0,639000.0,581.0
426,3.0,2.0,5000.0,1952.0,13500000.0,2700.0
427,2.0,1.0,960.0,1952.0,399000.0,416.0
429,3.0,3.0,2707.0,2015.0,6750000.0,2494.0
432,5.0,2.0,2310.0,1920.0,679000.0,294.0
433,9.0,3.0,2188.0,1910.0,1750000.0,800.0
434,3.0,2.0,1350.0,1965.0,535000.0,396.0
436,4.0,2.0,1344.0,1955.0,1145000.0,852.0
437,2.0,2.0,1354.0,1924.0,2195000.0,1621.0
438,1.0,1.0,875.0,1978.0,849000.0,970.0
439,3.0,3.0,2800.0,1915.0,5995000.0,2141.0
445,7.0,5.0,4000.0,1925.0,1879000.0,470.0
448,2.0,1.0,802.0,1941.0,320000.0,399.0
449,4.0,5.0,2530.0,2000.0,4750000.0,1877.0
450,3.0,3.0,1950.0,1960.0,775000.0,397.0
451,12.0,2.0,5100.0,1930.0,1998000.0,392.0
452,0.0,1.0,1385.0,1920.0,1475000.0,1065.0
454,3.0,2.0,1224.0,1955.0,640000.0,523.0
455,3.0,1.0,1400.0,1930.0,279000.0,199.0
456,1.0,1.0,800.0,1963.0,220000.0,275.0
457,7.0,3.0,2000.0,1905.0,1075000.0,538.0
459,5.0,3.0,3186.0,1930.0,1299000.0,408.0
460,0.0,2.0,1287.0,1930.0,1125000.0,874.0
461,2.0,2.0,2046.0,1881.0,3498000.0,1710.0
462,7.0,4.0,2800.0,1915.0,1350000.0,482.0
463,4.0,3.0,1700.0,1960.0,849000.0,499.0
466,3.0,1.0,952.0,1925.0,300000.0,315.0
467,2.0,1.0,950.0,1952.0,308000.0,324.0
468,10.0,7.0,3442.0,1988.0,1680000.0,488.0
469,2.0,2.0,1100.0,1954.0,399000.0,363.0
470,5.0,3.0,1750.0,1910.0,1050000.0,600.0
472,1.0,1.0,782.0,1983.0,374900.0,479.0
473,7.0,3.0,3300.0,1930.0,2250000.0,682.0
474,6.0,3.0,1256.0,1920.0,1149999.0,916.0
475,1.0,1.0,789.0,1955.0,297000.0,376.0
488,8.0,5.0,3960.0,1987.0,989000.0,250.0
489,4.0,1.0,1424.0,1925.0,799000.0,561.0
