,style,street,city,zip_code,beds,full_baths,sqft,year_built,days_on_mls,list_price,price_per_sqft,year,month,day
3790,COOP,35  Seacoast Ter,Brooklyn,11235,1.0,1.0,1000.0,1952.0,51,709000.0,709.0,2023,11,16
3791,COOP,35-36  76th St,Jackson Heights,11372,1.0,1.0,,1940.0,51,429000.0,,2023,11,16
3792,COOP,220 E 57th St,New York,10022,0.0,1.0,,1964.0,51,410000.0,,2023,11,16
3793,COOP,32  Gramercy Park,New York,10003,1.0,1.0,,1956.0,51,872500.0,,2023,11,16
3794,COOP,140-33  34th Ave,Flushing,11354,2.0,1.0,949.0,1960.0,51,339000.0,357.0,2023,11,16
3795,CONDOP,60 E 8th St,New York,10003,2.0,2.0,,1967.0,51,2495000.0,,2023,11,16
3796,COOP,6345  Saunders St,Rego Park,11374,1.0,1.0,800.0,1955.0,51,338000.0,423.0,2023,11,16
3797,TOWNHOMES,148  Lorraine Loop,Staten Island,10309,3.0,1.0,1094.0,1992.0,51,535000.0,489.0,2023,11,16
3798,CONDOS,165  Lexington Ave,New York,10016,0.0,2.0,,2021.0,51,800000.0,,2023,11,16
3799,CONDOS,1442  Outlook Ave,Bronx,10465,2.0,1.0,909.0,2006.0,51,569000.0,626.0,2023,11,16
3800,SINGLE_FAMILY,131-19  135th Pl,Jamaica,11420,3.0,1.0,,1925.0,51,599000.0,,2023,11,16
3801,SINGLE_FAMILY,76-73  173rd St,Fresh Meadows,11366,3.0,3.0,,1950.0,51,1350000.0,,2023,11,16
3802,COOP,62-59  108 St,Forest Hills,11375,0.0,1.0,,1959.0,51,192000.0,,2023,11,16
3803,TOWNHOMES,34-51  74th St,Jackson Heights,11372,5.0,3.0,2000.0,1925.0,51,1999000.0,1000.0,2023,11,16
3804,SINGLE_FAMILY,116-34  146th St,Jamaica,11436,3.0,2.0,,1920.0,51,686000.0,,2023,11,16
3805,MULTI_FAMILY,35-22  28th St,Long Island City,11106,4.0,3.0,,1930.0,51,1500000.0,,2023,11,16
3806,SINGLE_FAMILY,57  Bay 10th St,Brooklyn,11228,3.0,2.0,1660.0,1930.0,51,1280000.0,771.0,2023,11,16
3807,CONDOS,450 W 17th St,New York,10011,2.0,2.0,1059.0,2008.0,51,2495000.0,2356.0,2023,11,16
3808,COOP,800 E 17th St,Brooklyn,11230,2.0,1.0,800.0,1938.0,51,590000.0,738.0,2023,11,16
3809,MULTI_FAMILY,53-16  Haspel St,Elmhurst,11373,7.0,3.0,,1920.0,51,1350000.0,,2023,11,16
3810,MULTI_FAMILY,63-42  110th St,Forest Hills,11375,5.0,3.0,,1960.0,51,1250000.0,,2023,11,16
3811,SINGLE_FAMILY,1335 E 40th St,Brooklyn,11234,3.0,2.0,1998.0,1925.0,51,759000.0,380.0,2023,11,16
3812,SINGLE_FAMILY,14  Brighton 10th Ln,Brooklyn,11235,4.0,2.0,872.0,1920.0,51,580000.0,665.0,2023,11,16
3813,MULTI_FAMILY,87-86  52nd Ave,Elmhurst,11373,6.0,4.0,,2004.0,51,1598000.0,,2023,11,16
3814,COOP,35-45  81 St,Jackson Heights,11372,1.0,1.0,,1937.0,51,294500.0,,2023,11,16
3815,MULTI_FAMILY,1621  Bayshore Ave,Bronx,10465,6.0,3.0,2200.0,1910.0,51,1579000.0,718.0,2023,11,16
3816,SINGLE_FAMILY,108-36  Ditmars Blvd,East Elmhurst,11369,3.0,1.0,,1955.0,51,889000.0,,2023,11,16
3817,COOP,2440  Amsterdam Ave,New York,10033,2.0,1.0,850.0,1923.0,51,350000.0,412.0,2023,11,16
3818,COOP,41-41  41st St,Sunnyside,11104,1.0,1.0,,1936.0,51,367000.0,,2023,11,16
3819,CONDOS,515 E 72nd St,Manhattan,10021,5.0,5.0,2750.0,1985.0,51,3995000.0,1453.0,2023,11,16
3820,COOP,1165 E 54th St,Brooklyn,11234,2.0,1.0,800.0,1965.0,51,280000.0,350.0,2023,11,16
3821,CONDOS,118  Battery Ave,Brooklyn,11209,0.0,2.0,6400.0,2004.0,51,1599000.0,250.0,2023,11,16
3822,SINGLE_FAMILY,150 E 105th St,New York,10029,32.0,12.0,7188.0,1900.0,51,4000000.0,556.0,2023,11,16
3823,SINGLE_FAMILY,3396  Bedford Ave,Brooklyn,11210,3.0,2.0,1394.0,1996.0,52,1575000.0,1130.0,2023,11,15
3824,COOP,1075  Grand Concourse,Bronx,10452,1.0,1.0,900.0,1928.0,52,269999.0,300.0,2023,11,15
3825,TOWNHOMES,319 W 137th St,Manhattan,10030,6.0,6.0,,1901.0,52,2275000.0,,2023,11,15
3826,SINGLE_FAMILY,402  Grandview Ave,Staten Island,10303,3.0,1.0,1008.0,1960.0,52,699000.0,693.0,2023,11,15
3827,SINGLE_FAMILY,67  Dexter Ave,Staten Island,10309,3.0,2.0,3500.0,2002.0,52,1165000.0,333.0,2023,11,15
3828,SINGLE_FAMILY,67  Dexter Ave,Staten Island,10309,3.0,3.0,3500.0,2002.0,52,1165000.0,333.0,2023,11,15
3829,TOWNHOMES,185  Van Siclen Ave,Brooklyn,11207,0.0,2.0,,1952.0,52,675000.0,,2023,11,15
3830,CONDOS,45-30  Pearson St,Queens,11101,2.0,2.0,860.0,1952.0,52,1450000.0,1686.0,2023,11,15
3831,SINGLE_FAMILY,19-36  75th St,East Elmhurst,11370,3.0,1.0,1100.0,1935.0,52,1099999.0,1000.0,2023,11,15
3832,CONDOS,27-34  27th St,Queens,11102,1.0,1.0,700.0,2018.0,52,779000.0,1113.0,2023,11,15
3833,COOP,99-52  66th Rd,Rego Park,11374,2.0,1.0,900.0,1952.0,52,439000.0,488.0,2023,11,15
3834,COOP,23-55  Bell Blvd,Bayside,11360,2.0,2.0,,1960.0,52,479500.0,,2023,11,15
3835,SINGLE_FAMILY,1672  Hendrickson St,Brooklyn,11234,3.0,1.0,1232.0,1920.0,52,898000.0,729.0,2023,11,15
3836,MULTI_FAMILY,860 E 232nd St,Bronx,10466,6.0,3.0,2202.0,1930.0,52,800000.0,363.0,2023,11,15
3837,MULTI_FAMILY,1299  Saint Johns Pl,Crown Heights,11213,8.0,4.0,2950.0,2006.0,52,1425000.0,483.0,2023,11,15
3838,SINGLE_FAMILY,67-27  181st St,Fresh Meadows,11365,5.0,3.0,2152.0,1939.0,52,1578000.0,733.0,2023,11,15
3839,TOWNHOMES,509  Liberty Ave,Brooklyn,11207,3.0,2.0,,1952.0,52,2350000.0,,2023,11,15
3840,SINGLE_FAMILY,2044 E 67th St,Brooklyn,11234,3.0,1.0,1260.0,1930.0,52,759000.0,602.0,2023,11,15
3841,CONDOS,235 N Henry St,Brooklyn,11222,2.0,2.0,937.0,1952.0,52,1395000.0,1489.0,2023,11,15
3842,SINGLE_FAMILY,152  Davis Ave,Staten Island,10310,4.0,3.0,2945.0,2023.0,52,815152.0,277.0,2023,11,15
3843,SINGLE_FAMILY,156  Davis Ave,Staten Island,10310,4.0,3.0,2945.0,2023.0,52,815156.0,277.0,2023,11,15
3844,LAND,1285  Rogers Ave,Brooklyn,11210,2.0,2.0,,1952.0,52,899000.0,,2023,11,15
3845,MULTI_FAMILY,5313  Avenue H,Brooklyn,11234,2.0,3.0,2400.0,1950.0,52,1195000.0,498.0,2023,11,15
3846,CONDOS,3 E 75th St,New York,10021,3.0,3.0,7325.0,1924.0,52,23500000.0,3208.0,2023,11,15
