,bath,sqft,price,price_per_sqft,bedroom,year
2756,1.0986122886681098,7.560601162768557,13.910821646859095,6.352629396319567,1.6094379124341003,0.7111111111111111
2759,1.3862943611198906,7.497207223203318,13.708914835307842,6.214608098422191,1.6094379124341003,0.5777777777777777
2761,1.0986122886681098,6.82001636467413,14.346139397261565,7.527793987721444,0.6931471805599453,0.9911111111111112
2763,1.0986122886681098,7.300472814267799,13.586098651497313,6.2878585601617845,1.0986122886681098,0.7244444444444444
2764,1.3862943611198906,7.6577552711348655,15.498199118011556,7.841492924460013,1.3862943611198906,0.9777777777777777
2765,1.6094379124341003,7.901377353792616,15.068273812173887,7.167809184316444,1.6094379124341003,0.4888888888888889
2767,0.6931471805599453,7.0909098220799835,14.204169225721929,7.114769448366463,0.6931471805599453,0.4622222222222222
2768,1.6094379124341003,7.962067308753666,14.770637698386924,6.810142450115136,2.5649493574615367,0.4888888888888889
2769,0.6931471805599453,6.553933404025811,13.567050480716235,7.01571242048723,1.0986122886681098,0.9822222222222222
2770,1.3862943611198906,7.601402334583733,14.038654909278163,6.439350371100098,1.9459101490553132,0.6222222222222222
2771,1.0986122886681098,7.02197642307216,13.52649559761195,6.507277712385012,1.6094379124341003,0.5333333333333333
2772,1.6094379124341003,8.160803920954665,15.17340570176408,7.013915474810528,1.791759469228055,0.5777777777777777
2773,0.6931471805599453,6.9930151229329605,13.989464705423494,6.9985096422506015,1.3862943611198906,0.6
2776,0.6931471805599453,6.456769655572163,13.351888125506433,6.897704943128636,0.6931471805599453,0.8266666666666667
2778,1.0986122886681098,7.723120092266331,13.704580114574805,5.983936280687191,1.3862943611198906,0.6666666666666666
2780,0.6931471805599453,7.018401799069201,13.120363378739663,6.104793232414985,1.3862943611198906,0.8444444444444444
2781,0.6931471805599453,6.398594934535208,13.07107218827772,6.675823221634848,0.6931471805599453,0.5644444444444444
2782,0.6931471805599453,6.641182169740591,13.159661088928443,6.520621127558696,0.6931471805599453,0.7288888888888889
2783,1.3862943611198906,7.741099090035366,14.557448378884015,6.81783057145415,1.6094379124341003,0.44
2787,1.3862943611198906,8.157943507105037,14.07710606547538,5.921578419643816,1.9459101490553132,0.7111111111111111
2788,1.9459101490553132,8.74687531957003,15.039286283703994,6.295266001439646,1.9459101490553132,0.6755555555555556
2789,1.0986122886681098,10.920546270529568,15.578013017740092,4.663439094112067,1.0986122886681098,0.7288888888888889
2790,0.6931471805599453,6.621405651764134,12.886643575525625,6.269096283706261,0.6931471805599453,0.6755555555555556
2791,1.791759469228055,8.184792654165078,15.88868261241667,7.704811922932594,1.791759469228055,0.9155555555555556
2793,1.0986122886681098,6.748759547491679,12.180759965737863,5.438079308923196,0.6931471805599453,0.4622222222222222
2796,0.6931471805599453,6.673297967767654,12.506180941677357,5.8377304471659395,0.6931471805599453,0.7022222222222222
2797,0.6931471805599453,6.963189985870238,13.652992804936396,6.692083742506628,1.0986122886681098,0.9866666666666667
2800,0.6931471805599453,6.803505257608338,12.834683971615659,6.035481432524756,0.6931471805599453,0.6977777777777778
2801,0.6931471805599453,7.901377353792616,14.151982794585487,6.253828811575473,1.3862943611198906,0.6
2802,0.6931471805599453,6.813444599510896,13.577254637874743,6.7661917146603505,0.6931471805599453,0.9066666666666666
2803,0.6931471805599453,6.85751406254539,12.73670383776449,5.883322388488279,1.0986122886681098,0.6755555555555556
2805,0.6931471805599453,7.59337419312129,14.508657738524219,6.9167150203536085,1.3862943611198906,0.5555555555555556
2807,0.6931471805599453,7.02197642307216,13.159661088928443,6.139884552226255,1.0986122886681098,0.8355555555555556
2808,1.791759469228055,8.714074899541522,14.837961845378985,6.126869184114185,2.0794415416798357,0.96
2810,1.6094379124341003,7.962067308753666,14.770637698386924,6.810142450115136,2.5649493574615367,0.4888888888888889
2811,0.6931471805599453,6.7464121285733745,12.296831574998258,5.556828061699537,1.0986122886681098,0.6755555555555556
2812,1.0986122886681098,7.696667081526462,14.038654909278163,6.343880434126331,1.0986122886681098,0.6755555555555556
2813,0.6931471805599453,6.2166061010848646,12.128116509451258,5.916202062607435,0.0,0.7155555555555555
2814,1.3862943611198906,8.010359588919783,15.760706309040964,7.751045117971802,1.3862943611198906,0.5511111111111111
2815,0.6931471805599453,7.1316985104669115,12.896719202134523,5.768320995793772,1.791759469228055,0.5333333333333333
2817,1.6094379124341003,7.741099090035366,13.710150042306449,5.971261839790462,2.0794415416798357,0.9244444444444444
2820,0.6931471805599453,8.006700845440367,14.137594057133388,6.133398042996649,1.6094379124341003,0.9955555555555555
2822,0.6931471805599453,8.006700845440367,14.137594057133388,6.133398042996649,1.6094379124341003,0.9955555555555555
2826,0.6931471805599453,6.703188113240863,14.122995993006082,7.421775793644647,0.6931471805599453,0.92
2827,0.6931471805599453,7.957527402230773,13.499430382731967,5.545177444479562,1.3862943611198906,0.5333333333333333
2830,0.6931471805599453,6.890609120147166,14.269766465162304,7.380879035564116,0.6931471805599453,0.9333333333333333
2831,0.6931471805599453,6.406879986069314,13.70903942580019,7.304515946460155,0.6931471805599453,0.7911111111111111
2832,0.6931471805599453,6.803505257608338,11.774527900858468,4.976733742420574,1.0986122886681098,0.8177777777777778
2833,2.3978952727983707,9.362116806941977,17.189679301485086,7.828038032125829,2.5649493574615367,0.4488888888888889
2835,0.6931471805599453,6.516193076042964,12.367345048436391,5.855071922202427,0.6931471805599453,0.6888888888888889
2836,0.6931471805599453,6.493753839851686,12.487488878546145,5.998936561946683,1.0986122886681098,0.7511111111111111
2837,0.6931471805599453,6.78105762593618,13.178745601197818,6.400257445308821,1.0986122886681098,0.6488888888888888
2838,0.6931471805599453,7.273092595999522,13.176853456625999,5.908082938168931,1.3862943611198906,0.8488888888888889
2839,1.3862943611198906,7.584264818389059,13.652875151095039,6.07073772800249,1.791759469228055,0.5777777777777777
2841,1.0986122886681098,6.906754778648554,13.955273369904273,7.050122520269059,1.0986122886681098,0.9911111111111112
2842,1.3862943611198906,7.601402334583733,14.508158113732536,6.90875477931522,1.791759469228055,0.5555555555555556
2843,0.6931471805599453,6.359573868672378,12.896719202134523,6.541029999189903,0.6931471805599453,0.8355555555555556
2846,1.0986122886681098,7.745435610274381,15.150511887854474,7.406103381237015,1.791759469228055,0.9066666666666666
2848,1.3862943611198906,7.828038032125829,15.856731016694035,8.029432840581244,1.3862943611198906,0.8133333333333334
2849,1.0986122886681098,6.943122422819428,14.340239678615058,7.3987862754199485,1.0986122886681098,0.7911111111111111
2850,1.3862943611198906,7.855932199718614,16.066276007547106,8.210939733379021,1.3862943611198906,0.8133333333333334
2852,0.6931471805599453,6.859614903654202,13.76421831620775,6.906754778648554,0.6931471805599453,0.6755555555555556
2853,1.791759469228055,8.661466680572662,15.147876840910817,6.48768401848461,2.3978952727983707,0.6755555555555556
2859,0.6931471805599453,6.478509642208569,13.038983942375959,6.5638555265321274,0.6931471805599453,0.9555555555555556
2860,1.0986122886681098,7.716460800176355,13.384729180332174,5.673323267171493,1.6094379124341003,0.6222222222222222
2861,1.0986122886681098,7.340186835320115,13.552847548877052,6.214608098422191,1.6094379124341003,0.5333333333333333
2864,0.6931471805599453,6.7464121285733745,12.278397958261774,5.537334267018537,1.0986122886681098,0.5866666666666667
2866,0.6931471805599453,7.0909098220799835,13.07107218827772,5.983936280687191,1.3862943611198906,0.72
2869,1.0986122886681098,7.2633296174768365,14.6888942063636,7.427144133408616,1.3862943611198906,0.9911111111111112
2870,1.0986122886681098,7.227662498728654,14.506155109559108,7.280008252884188,1.3862943611198906,0.9911111111111112
2871,1.0986122886681098,7.227662498728654,14.646243837206535,7.419979923661835,1.3862943611198906,0.9911111111111112
